continent;location;new_deaths_per_week_per_100000;people_fully_vaccinated_per_hundred
Europe;Austria;4.08813;66.92
Europe;Belarus;1.13973;28.72
Europe;Belgium;3.60451;74.9
Europe;Bulgaria;10.962;26.14
Europe;Croatia;11.1475;48.49
Europe;Czechia;8.3267;59.82
Europe;Denmark;1.13627;76.78
Europe;Finland;1.75053;73.07
Europe;France;0.735613;70.01
Europe;Germany;2.15408;68.39
Europe;Greece;6.01996;64.25
Europe;Hungary;17.0165;60.9
Europe;Italy;0.806663;73.14
Europe;Moldova;5.01217;23.48
Europe;Netherlands;1.97186;74.08
Europe;Norway;1.7199;70.45
Europe;Poland;6.10698;54.29
Europe;Portugal;1.01977;88.56
Europe;Romania;5.66094;39.25
Europe;Russia;5.74337;40.23
Europe;Serbia;5.10619;45.65
Europe;Slovakia;8.37222;43.03
Europe;Spain;0.52262;80.55
Europe;Sweden;0.5906;70.66
Europe;Switzerland;1.33442;65.59
Europe;Ukraine;8.63896;27.21
Europe;United Kingdom;1.21686;68.21
