continent;location;new_cases_per_million;people_fully_vaccinated_per_hundred
Asia;Afghanistan;0.695231;8.95
Africa;Algeria;2.72007;12.06
Africa;Angola;0.337794;9.05
South America;Argentina;25.9675;66.36
Oceania;Australia;37.5676;73.71
Europe;Austria;828.278;66.92
Asia;Azerbaijan;111.547;44.93
Asia;Bangladesh;1.04725;22.74
Europe;Belarus;126.345;28.72
Europe;Belgium;1480.16;74.83
South America;Bolivia;72.8541;35.41
South America;Brazil;28.576;63.98
Europe;Bulgaria;203.377;26.14
Africa;Burundi;0.873;0.01
Asia;Cambodia;1.21319;79.16
North America;Canada;51.6144;76.44
South America;Chile;78.9316;84.43
Asia;China;0.02275;76.89
South America;Colombia;32.6356;49.1
North America;Costa Rica;27.7721;62.56
Europe;Croatia;756.021;48.49
North America;Cuba;11.2299;82.0
Europe;Czechia;1318.96;59.82
Africa;Democratic Republic of Congo;0.4752;0.06
Europe;Denmark;507.754;76.78
North America;Dominican Republic;30.6346;51.31
Africa;Egypt;6.10614;14.88
Africa;Ethiopia;0.8715;1.23
Europe;Finland;206.946;73.07
Europe;France;353.569;70.01
Asia;Georgia;667.522;25.6
Europe;Germany;454.535;68.39
Europe;Greece;410.693;64.25
North America;Guatemala;16.3926;22.88
Asia;Hong Kong;0.376425;60.28
Europe;Hungary;990.919;60.9
Asia;India;4.74357;34.26
Asia;Indonesia;0.788375;35.83
Asia;Iran;33.3961;54.71
Asia;Iraq;11.7706;11.47
Europe;Ireland;662.242;76.23
Asia;Israel;36.8723;62.23
Europe;Italy;148.309;73.14
Asia;Japan;0.561575;77.5
Asia;Jordan;319.1;36.77
Asia;Kazakhstan;32.5287;43.05
Africa;Kenya;0.642906;5.37
Asia;Kuwait;4.15086;73.13
Asia;Kyrgyzstan;5.86119;13.79
Asia;Laos;118.206;42.0
Asia;Lebanon;147.767;25.27
Africa;Libya;60.1331;9.58
Africa;Malawi;0.3054;3.14
Asia;Malaysia;110.634;77.56
Africa;Mali;2.22998;1.54
Africa;Mauritania;9.55618;14.33
North America;Mexico;22.6036;50.22
Europe;Moldova;98.339;23.48
Asia;Mongolia;102.184;64.68
Africa;Morocco;2.20942;60.96
Africa;Mozambique;0.69485;12.22
Asia;Myanmar;6.09634;21.19
Asia;Nepal;5.91793;28.43
Europe;Netherlands;899.269;74.08
Oceania;New Zealand;21.4198;72.01
Africa;Niger;0.726791;1.85
Africa;Nigeria;0.313133;1.7
Europe;Norway;354.963;70.45
Asia;Oman;2.03996;54.14
Asia;Pakistan;1.08828;23.23
Asia;Palestine;52.3755;26.15
North America;Panama;42.0396;55.63
Oceania;Papua New Guinea;8.95171;2.17
South America;Paraguay;10.2969;37.45
South America;Peru;29.1948;55.69
Asia;Philippines;4.55634;34.37
Europe;Poland;426.394;54.29
Europe;Portugal;212.28;88.56
Europe;Romania;63.9698;39.25
Europe;Russia;159.227;40.23
Africa;Rwanda;0.718331;26.01
Asia;Saudi Arabia;0.618931;64.01
Africa;Senegal;0.184692;5.37
Europe;Serbia;224.972;45.65
Europe;Slovakia;1430.88;43.03
Africa;South Africa;65.925;24.87
Asia;South Korea;59.1661;80.58
Africa;South Sudan;1.27619;1.17
Europe;Spain;183.134;80.55
Asia;Sri Lanka;25.3945;64.03
Europe;Sweden;201.608;70.66
Europe;Switzerland;830.596;65.59
Asia;Syria;4.22095;4.04
Asia;Taiwan;0.249419;57.5
Asia;Thailand;62.8848;59.66
Africa;Togo;0.666992;6.7
Africa;Tunisia;8.68346;43.83
Asia;Turkey;192.448;59.56
Europe;Ukraine;208.269;27.21
Europe;United Kingdom;452.727;68.21
North America;United States;187.407;59.47
South America;Uruguay;42.3798;76.33
South America;Venezuela;19.6568;34.34
Asia;Vietnam;104.284;54.69
Asia;Yemen;0.1165;1.19
Africa;Zambia;0.62195;3.87
Africa;Zimbabwe;18.0657;19.11
